Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:34,2561-04-03 13:41:34,0.161s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:41:34,2561-04-03 13:41:36,2.001s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:36,2561-04-03 13:41:37,0.162s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:41:37,2561-04-03 13:41:39,2.001s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:39,2561-04-03 13:41:39,0.188s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:39,2561-04-03 13:41:39,0.204s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:39,2561-04-03 13:41:39,0.288s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:39,2561-04-03 13:41:40,0.445s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:40,2561-04-03 13:41:40,0.200s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:40,2561-04-03 13:41:40,0.236s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:40,2561-04-03 13:41:40,0.249s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:41:40,2561-04-03 13:41:42,1.316s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-03 13:41:42,2561-04-03 13:41:42,0.201s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-03 13:41:42,2561-04-03 13:41:43,1.391s,PASSED
,,,,,,
Test Cases/Register volunteer/Register03,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14 \u0E42\u0E14\u0E22\u0E01\u0E23\u0E2D\u0E01\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E41\u0E25\u0E30\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E48\u0E32\u0E19 3 \u0E15\u0E31\u0E27,2561-04-03 13:41:43,2561-04-03 13:42:43,59.737s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:44,0.001s,PASSED
"Statement - randomPL = CustomKeywords.randomPass.randomPass.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 3)",Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:44,0.000s,PASSED
Statement - randomR = CustomKeywords.random.randomReligion.randomRRR(),Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:44,0.000s,PASSED
Statement - radomD = CustomKeywords.random.randomDegree.randomDeg(),Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:44,0.000s,PASSED
Statement - randomJ = CustomKeywords.random.randomJobs.randomJOb(),Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:44,0.000s,PASSED
Statement - randomS = CustomKeywords.random.randomStatus.randomSta(),Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:44,0.000s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-03 13:41:44,2561-04-03 13:41:52,8.089s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-03 13:41:52,2561-04-03 13:42:31,38.731s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:42:31,2561-04-03 13:42:31,0.643s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:31,2561-04-03 13:42:32,0.257s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.124s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.113s,PASSED
uploadFile,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.049s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.149s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.113s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.140s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:32,0.125s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:32,2561-04-03 13:42:33,0.241s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:33,2561-04-03 13:42:33,0.222s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:33,2561-04-03 13:42:33,0.243s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:33,2561-04-03 13:42:33,0.207s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:33,2561-04-03 13:42:33,0.116s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:33,2561-04-03 13:42:34,0.123s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:34,2561-04-03 13:42:34,0.125s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:42:34,2561-04-03 13:42:36,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:36,2561-04-03 13:42:36,0.122s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:42:36,2561-04-03 13:42:38,2.001s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:38,2561-04-03 13:42:38,0.104s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:42:38,2561-04-03 13:42:40,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:40,2561-04-03 13:42:40,0.160s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:40,2561-04-03 13:42:40,0.166s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:42:40,2561-04-03 13:42:40,0.176s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:40,2561-04-03 13:42:41,0.334s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:41,2561-04-03 13:42:41,0.150s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:41,2561-04-03 13:42:41,0.163s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:42:41,2561-04-03 13:42:41,0.148s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:42:41,2561-04-03 13:42:42,1.016s,PASSED
